Time (s),Altitude (m),Velocity (m/s),Mass (kg),Fuel (%),Air Density (kg/m^3),Drag Force (N),Drag Accel (m/s^2),Heat Rate (W/m^2),Total Heat (J/m^2),Surface Temp (K)
0.00,0.40,4.01,29956.30,99.78,0.02,0.46,0.00,0.00,0.00,0.00
0.10,1.20,8.03,29912.60,99.56,0.02,1.50,0.00,0.00,0.00,0.00
0.20,2.41,12.06,29868.89,99.34,0.02,3.14,0.00,0.01,0.00,0.00
0.30,4.02,16.09,29825.19,99.13,0.02,5.38,0.00,0.01,0.00,0.00
0.40,6.03,20.13,29781.49,98.91,0.02,8.22,0.00,0.03,0.00,0.00
0.50,8.45,24.18,29737.79,98.69,0.02,11.67,0.00,0.04,0.01,0.00
0.60,11.27,28.24,29694.09,98.47,0.02,15.72,0.00,0.07,0.02,0.00
0.70,14.50,32.30,29650.38,98.25,0.02,20.39,0.00,0.10,0.03,0.00
0.80,18.14,36.37,29606.68,98.03,0.02,25.66,0.00,0.15,0.04,0.00
0.90,22.19,40.45,29562.98,97.81,0.02,31.54,0.00,0.20,0.06,0.00
1.00,26.64,44.54,29519.28,97.60,0.02,38.04,0.00,0.26,0.09,0.00
1.10,31.50,48.63,29475.57,97.38,0.02,45.14,0.00,0.34,0.12,0.00
1.20,36.78,52.73,29431.87,97.16,0.02,52.85,0.00,0.43,0.17,0.00
1.30,42.46,56.84,29388.17,96.94,0.02,61.17,0.00,0.54,0.22,0.00
1.40,48.56,60.95,29344.47,96.72,0.02,70.10,0.00,0.66,0.29,0.00
1.50,55.06,65.08,29300.77,96.50,0.02,79.64,0.00,0.80,0.37,0.00
1.60,61.98,69.21,29257.06,96.29,0.02,89.78,0.00,0.96,0.46,0.00
1.70,69.32,73.35,29213.36,96.07,0.02,100.52,0.00,1.14,0.58,0.00
1.80,77.07,77.49,29169.66,95.85,0.02,111.86,0.00,1.34,0.71,0.00
1.90,85.23,81.65,29125.96,95.63,0.02,123.80,0.00,1.56,0.87,0.00
2.00,93.81,85.81,29082.26,95.41,0.02,136.33,0.00,1.80,1.05,0.00
2.10,102.81,89.98,29038.55,95.19,0.02,149.45,0.01,2.07,1.25,0.00
2.20,112.23,94.15,28994.85,94.97,0.02,163.16,0.01,2.37,1.49,0.00
2.30,122.06,98.34,28951.15,94.76,0.01,177.45,0.01,2.69,1.76,0.00
2.40,132.31,102.53,28907.45,94.54,0.01,192.32,0.01,3.04,2.06,0.00
2.50,142.99,106.73,28863.74,94.32,0.01,207.76,0.01,3.41,2.40,0.00
2.60,154.08,110.94,28820.04,94.10,0.01,223.77,0.01,3.82,2.79,0.00
2.70,165.60,115.16,28776.34,93.88,0.01,240.34,0.01,4.26,3.21,0.00
2.80,177.53,119.38,28732.64,93.66,0.01,257.47,0.01,4.73,3.68,0.00
2.90,189.90,123.61,28688.94,93.44,0.01,275.15,0.01,5.23,4.21,0.00
3.00,202.68,127.85,28645.23,93.23,0.01,293.37,0.01,5.76,4.78,0.00
3.10,215.89,132.10,28601.53,93.01,0.01,312.12,0.01,6.33,5.42,0.00
3.20,229.53,136.35,28557.83,92.79,0.01,331.41,0.01,6.94,6.11,0.00
3.30,243.59,140.62,28514.13,92.57,0.01,351.22,0.01,7.58,6.87,0.00
3.40,258.08,144.89,28470.43,92.35,0.01,371.54,0.01,8.26,7.70,0.00
3.50,272.99,149.17,28426.72,92.13,0.01,392.37,0.01,8.98,8.59,0.00
3.60,288.34,153.45,28383.02,91.92,0.01,413.69,0.01,9.74,9.57,0.00
3.70,304.11,157.75,28339.32,91.70,0.01,435.50,0.02,10.54,10.62,0.01
3.80,320.32,162.05,28295.62,91.48,0.01,457.79,0.02,11.38,11.76,0.01
3.90,336.96,166.37,28251.92,91.26,0.01,480.55,0.02,12.26,12.99,0.01
4.00,354.02,170.69,28208.21,91.04,0.01,503.78,0.02,13.19,14.31,0.01
4.10,371.52,175.01,28164.51,90.82,0.01,527.45,0.02,14.16,15.72,0.01
4.20,389.46,179.35,28120.81,90.60,0.01,551.56,0.02,15.17,17.24,0.01
4.30,407.83,183.69,28077.11,90.39,0.01,576.10,0.02,16.22,18.86,0.01
4.40,426.63,188.05,28033.40,90.17,0.01,601.05,0.02,17.33,20.59,0.01
4.50,445.87,192.41,27989.70,89.95,0.01,626.42,0.02,18.47,22.44,0.01
4.60,465.55,196.78,27946.00,89.73,0.01,652.17,0.02,19.67,24.41,0.01
4.70,485.67,201.15,27902.30,89.51,0.01,678.32,0.02,20.91,26.50,0.01
4.80,506.22,205.54,27858.60,89.29,0.01,704.83,0.03,22.20,28.72,0.01
4.90,527.22,209.93,27814.89,89.07,0.01,731.70,0.03,23.53,31.07,0.02
5.00,548.65,214.34,27771.19,88.86,0.01,758.92,0.03,24.92,33.56,0.02
5.10,570.52,218.75,27727.49,88.64,0.01,786.48,0.03,26.35,36.20,0.02
5.20,592.84,223.17,27683.79,88.42,0.01,814.35,0.03,27.84,38.98,0.02
5.30,615.60,227.59,27640.09,88.20,0.01,842.53,0.03,29.37,41.92,0.02
5.40,638.80,232.03,27596.38,87.98,0.01,871.01,0.03,30.95,45.01,0.02
5.50,662.45,236.48,27552.68,87.76,0.01,899.77,0.03,32.58,48.27,0.02
5.60,686.54,240.93,27508.98,87.54,0.01,928.79,0.03,34.26,51.70,0.03
5.70,711.08,245.39,27465.28,87.33,0.01,958.07,0.03,36.00,55.30,0.03
5.80,736.07,249.86,27421.57,87.11,0.01,987.58,0.04,37.78,59.08,0.03
5.90,761.50,254.34,27377.87,86.89,0.01,1017.32,0.04,39.61,63.04,0.03
6.00,787.39,258.83,27334.17,86.67,0.01,1047.27,0.04,41.49,67.19,0.03
6.10,813.72,263.33,27290.47,86.45,0.01,1077.41,0.04,43.43,71.53,0.04
6.20,840.50,267.83,27246.77,86.23,0.01,1107.74,0.04,45.41,76.07,0.04
6.30,867.74,272.34,27203.06,86.02,0.01,1138.22,0.04,47.44,80.81,0.04
6.40,895.42,276.87,27159.36,85.80,0.01,1168.86,0.04,49.53,85.77,0.04
6.50,923.56,281.40,27115.66,85.58,0.01,1199.63,0.04,51.66,90.93,0.05
6.60,952.16,285.94,27071.96,85.36,0.01,1230.52,0.05,53.84,96.32,0.05
6.70,981.20,290.49,27028.26,85.14,0.01,1261.51,0.05,56.07,101.92,0.05
6.80,1010.71,295.05,26984.55,84.92,0.01,1292.59,0.05,58.35,107.76,0.05
6.90,1040.67,299.61,26940.85,84.70,0.01,1323.74,0.05,60.68,113.83,0.06
7.00,1071.09,304.19,26897.15,84.49,0.01,1354.95,0.05,63.06,120.13,0.06
7.10,1101.97,308.77,26853.45,84.27,0.01,1386.19,0.05,65.48,126.68,0.06
7.20,1133.30,313.37,26809.74,84.05,0.01,1417.46,0.05,67.95,133.47,0.07
7.30,1165.10,317.97,26766.04,83.83,0.01,1448.74,0.05,70.46,140.52,0.07
7.40,1197.36,322.58,26722.34,83.61,0.01,1480.00,0.06,73.03,147.82,0.07
7.50,1230.08,327.20,26678.64,83.39,0.01,1511.25,0.06,75.63,155.39,0.08
7.60,1263.26,331.83,26634.94,83.17,0.01,1542.45,0.06,78.28,163.21,0.08
7.70,1296.91,336.47,26591.23,82.96,0.01,1573.59,0.06,80.98,171.31,0.09
7.80,1331.02,341.12,26547.53,82.74,0.01,1604.66,0.06,83.71,179.68,0.09
7.90,1365.60,345.78,26503.83,82.52,0.01,1635.64,0.06,86.49,188.33,0.09
8.00,1400.64,350.45,26460.13,82.30,0.01,1666.51,0.06,89.31,197.26,0.10
8.10,1436.16,355.12,26416.43,82.08,0.01,1697.26,0.06,92.17,206.48,0.10
8.20,1472.14,359.81,26372.72,81.86,0.01,1727.87,0.07,95.06,215.99,0.11
8.30,1508.59,364.50,26329.02,81.65,0.01,1758.33,0.07,98.00,225.79,0.11
8.40,1545.51,369.21,26285.32,81.43,0.01,1788.62,0.07,100.97,235.88,0.12
8.50,1582.90,373.92,26241.62,81.21,0.01,1818.71,0.07,103.98,246.28,0.12
8.60,1620.76,378.64,26197.92,80.99,0.01,1848.61,0.07,107.02,256.98,0.13
8.70,1659.10,383.37,26154.21,80.77,0.01,1878.29,0.07,110.09,267.99,0.13
8.80,1697.91,388.12,26110.51,80.55,0.01,1907.73,0.07,113.20,279.31,0.14
8.90,1737.20,392.87,26066.81,80.33,0.01,1936.92,0.07,116.33,290.95,0.15
9.00,1776.96,397.63,26023.11,80.12,0.01,1965.85,0.08,119.50,302.89,0.15
9.10,1817.20,402.40,25979.40,79.90,0.01,1994.49,0.08,122.69,315.16,0.16
9.20,1857.92,407.18,25935.70,79.68,0.01,2022.84,0.08,125.91,327.75,0.16
9.30,1899.12,411.97,25892.00,79.46,0.01,2050.88,0.08,129.15,340.67,0.17
9.40,1940.79,416.77,25848.30,79.24,0.01,2078.58,0.08,132.42,353.91,0.18
9.50,1982.95,421.58,25804.60,79.02,0.01,2105.95,0.08,135.70,367.48,0.18
9.60,2025.59,426.40,25760.89,78.80,0.01,2132.96,0.08,139.01,381.38,0.19
9.70,2068.71,431.23,25717.19,78.59,0.01,2159.60,0.08,142.34,395.62,0.20
9.80,2112.32,436.06,25673.49,78.37,0.01,2185.86,0.09,145.68,410.18,0.21
9.90,2156.41,440.91,25629.79,78.15,0.01,2211.72,0.09,149.04,425.09,0.21
10.00,2200.99,445.77,25586.09,77.93,0.01,2237.16,0.09,152.41,440.33,0.22
10.10,2246.05,450.64,25542.38,77.71,0.01,2262.18,0.09,155.79,455.91,0.23
10.20,2291.61,455.52,25498.68,77.49,0.01,2286.75,0.09,159.19,471.83,0.24
10.30,2337.65,460.41,25454.98,77.27,0.01,2310.87,0.09,162.59,488.09,0.24
10.40,2384.18,465.30,25411.28,77.06,0.01,2334.53,0.09,166.00,504.69,0.25
10.50,2431.20,470.21,25367.57,76.84,0.01,2357.71,0.09,169.41,521.63,0.26
10.60,2478.71,475.13,25323.87,76.62,0.01,2380.39,0.09,172.83,538.91,0.27
10.70,2526.72,480.06,25280.17,76.40,0.01,2402.58,0.10,176.24,556.53,0.28
10.80,2575.22,485.00,25236.47,76.18,0.01,2424.24,0.10,179.66,574.50,0.29
10.90,2624.21,489.95,25192.77,75.96,0.01,2445.38,0.10,183.07,592.81,0.30
11.00,2673.70,494.91,25149.06,75.75,0.01,2465.99,0.10,186.48,611.46,0.31
11.10,2723.69,499.88,25105.36,75.53,0.01,2486.04,0.10,189.88,630.44,0.32
11.20,2774.18,504.86,25061.66,75.31,0.01,2505.53,0.10,193.27,649.77,0.32
11.30,2825.16,509.85,25017.96,75.09,0.01,2524.45,0.10,196.65,669.44,0.33
11.40,2876.65,514.85,24974.26,74.87,0.01,2542.79,0.10,200.02,689.44,0.34
11.50,2928.63,519.86,24930.55,74.65,0.01,2560.55,0.10,203.37,709.77,0.35
11.60,2981.12,524.88,24886.85,74.43,0.01,2577.70,0.10,206.71,730.44,0.37
11.70,3034.11,529.91,24843.15,74.22,0.01,2594.24,0.10,210.03,751.45,0.38
11.80,3087.61,534.96,24799.45,74.00,0.01,2610.17,0.11,213.32,772.78,0.39
11.90,3141.61,540.01,24755.75,73.78,0.01,2625.47,0.11,216.60,794.44,0.40
12.00,3196.12,545.08,24712.04,73.56,0.01,2640.14,0.11,219.85,816.42,0.41
12.10,3251.13,550.15,24668.34,73.34,0.01,2654.17,0.11,223.07,838.73,0.42
12.20,3306.66,555.24,24624.64,73.12,0.01,2667.56,0.11,226.26,861.36,0.43
12.30,3362.69,560.33,24580.94,72.90,0.01,2680.28,0.11,229.42,884.30,0.44
12.40,3419.23,565.44,24537.23,72.69,0.01,2692.35,0.11,232.55,907.55,0.45
12.50,3476.29,570.56,24493.53,72.47,0.01,2703.75,0.11,235.65,931.12,0.47
12.60,3533.86,575.69,24449.83,72.25,0.01,2714.48,0.11,238.71,954.99,0.48
12.70,3591.94,580.83,24406.13,72.03,0.01,2724.53,0.11,241.73,979.16,0.49
12.80,3650.54,585.98,24362.43,71.81,0.01,2733.89,0.11,244.70,1003.63,0.50
12.90,3709.65,591.14,24318.72,71.59,0.01,2742.57,0.11,247.64,1028.40,0.51
13.00,3769.28,596.31,24275.02,71.38,0.01,2750.56,0.11,250.53,1053.45,0.53
13.10,3829.43,601.50,24231.32,71.16,0.01,2757.86,0.11,253.38,1078.79,0.54
13.20,3890.10,606.69,24187.62,70.94,0.01,2764.46,0.11,256.17,1104.41,0.55
13.30,3951.29,611.90,24143.92,70.72,0.01,2770.36,0.11,258.92,1130.30,0.57
13.40,4013.00,617.12,24100.21,70.50,0.01,2775.55,0.12,261.61,1156.46,0.58
13.50,4075.24,622.35,24056.51,70.28,0.01,2780.04,0.12,264.25,1182.88,0.59
13.60,4138.00,627.59,24012.81,70.06,0.01,2783.83,0.12,266.84,1209.57,0.60
13.70,4201.28,632.84,23969.11,69.85,0.01,2786.91,0.12,269.37,1236.50,0.62
13.80,4265.09,638.10,23925.40,69.63,0.01,2789.28,0.12,271.83,1263.69,0.63
13.90,4329.43,643.38,23881.70,69.41,0.01,2790.94,0.12,274.24,1291.11,0.65
14.00,4394.29,648.66,23838.00,69.19,0.01,2791.90,0.12,276.58,1318.77,0.66
14.10,4459.69,653.96,23794.30,68.97,0.01,2792.15,0.12,278.87,1346.66,0.67
14.20,4525.62,659.27,23750.60,68.75,0.01,2791.69,0.12,281.08,1374.76,0.69
14.30,4592.08,664.59,23706.89,68.53,0.01,2790.53,0.12,283.23,1403.09,0.70
14.40,4659.07,669.92,23663.19,68.32,0.01,2788.67,0.12,285.31,1431.62,0.72
14.50,4726.59,675.27,23619.49,68.10,0.01,2786.11,0.12,287.31,1460.35,0.73
14.60,4794.66,680.62,23575.79,67.88,0.00,2782.85,0.12,289.25,1489.27,0.74
14.70,4863.26,685.99,23532.09,67.66,0.00,2778.89,0.12,291.12,1518.39,0.76
14.80,4932.39,691.37,23488.38,67.44,0.00,2774.25,0.12,292.90,1547.68,0.77
14.90,5002.07,696.76,23444.68,67.22,0.00,2768.92,0.12,294.62,1577.14,0.79
15.00,5072.29,702.17,23400.98,67.00,0.00,2762.90,0.12,296.26,1606.76,0.80
15.10,5143.04,707.58,23357.28,66.79,0.00,2756.21,0.12,297.81,1636.55,0.82
15.20,5214.34,713.01,23313.58,66.57,0.00,2748.85,0.12,299.29,1666.48,0.83
15.30,5286.19,718.45,23269.87,66.35,0.00,2740.82,0.12,300.69,1696.54,0.85
15.40,5358.58,723.90,23226.17,66.13,0.00,2732.12,0.12,302.01,1726.75,0.86
15.50,5431.52,729.37,23182.47,65.91,0.00,2722.78,0.12,303.25,1757.07,0.88
15.60,5505.00,734.84,23138.77,65.69,0.00,2712.78,0.12,304.40,1787.51,0.89
15.70,5579.03,740.33,23095.06,65.48,0.00,2702.15,0.12,305.47,1818.06,0.91
15.80,5653.62,745.83,23051.36,65.26,0.00,2690.88,0.12,306.45,1848.70,0.92
15.90,5728.75,751.35,23007.66,65.04,0.00,2678.98,0.12,307.35,1879.44,0.94
16.00,5804.44,756.87,22963.96,64.82,0.00,2666.47,0.12,308.16,1910.25,0.96
16.10,5880.68,762.41,22920.26,64.60,0.00,2653.35,0.12,308.89,1941.14,0.97
16.20,5957.48,767.96,22876.55,64.38,0.00,2639.63,0.12,309.52,1972.09,0.99
16.30,6034.83,773.52,22832.85,64.16,0.00,2625.31,0.11,310.07,2003.10,1.00
16.40,6112.74,779.10,22789.15,63.95,0.00,2610.42,0.11,310.53,2034.15,1.02
16.50,6191.21,784.69,22745.45,63.73,0.00,2594.95,0.11,310.90,2065.24,1.03
16.60,6270.24,790.29,22701.75,63.51,0.00,2578.93,0.11,311.19,2096.36,1.05
16.70,6349.83,795.91,22658.04,63.29,0.00,2562.35,0.11,311.38,2127.50,1.06
16.80,6429.98,801.53,22614.34,63.07,0.00,2545.23,0.11,311.48,2158.65,1.08
16.90,6510.70,807.17,22570.64,62.85,0.00,2527.58,0.11,311.50,2189.80,1.09
17.00,6591.98,812.83,22526.94,62.63,0.00,2509.41,0.11,311.42,2220.94,1.11
17.10,6673.83,818.49,22483.23,62.42,0.00,2490.73,0.11,311.26,2252.07,1.13
17.20,6756.25,824.17,22439.53,62.20,0.00,2471.56,0.11,311.00,2283.17,1.14
17.30,6839.23,829.86,22395.83,61.98,0.00,2451.91,0.11,310.66,2314.23,1.16
17.40,6922.79,835.57,22352.13,61.76,0.00,2431.78,0.11,310.22,2345.26,1.17
17.50,7006.92,841.29,22308.43,61.54,0.00,2411.20,0.11,309.70,2376.23,1.19
17.60,7091.62,847.02,22264.72,61.32,0.00,2390.17,0.11,309.09,2407.14,1.20
17.70,7176.90,852.77,22221.02,61.11,0.00,2368.71,0.11,308.39,2437.97,1.22
17.80,7262.75,858.53,22177.32,60.89,0.00,2346.82,0.11,307.60,2468.73,1.23
17.90,7349.18,864.30,22133.62,60.67,0.00,2324.54,0.11,306.73,2499.41,1.25
18.00,7436.19,870.08,22089.92,60.45,0.00,2301.85,0.10,305.76,2529.98,1.26
18.10,7523.78,875.88,22046.21,60.23,0.00,2278.79,0.10,304.72,2560.46,1.28
18.20,7611.95,881.70,22002.51,60.01,0.00,2255.37,0.10,303.58,2590.81,1.30
18.30,7700.70,887.52,21958.81,59.79,0.00,2231.59,0.10,302.37,2621.05,1.31
18.40,7790.03,893.36,21915.11,59.58,0.00,2207.47,0.10,301.06,2651.16,1.33
18.50,7879.96,899.22,21871.41,59.36,0.00,2183.03,0.10,299.68,2681.12,1.34
18.60,7970.46,905.08,21827.70,59.14,0.00,2158.28,0.10,298.21,2710.95,1.36
18.70,8061.56,910.97,21784.00,58.92,0.00,2133.24,0.10,296.67,2740.61,1.37
18.80,8153.25,916.86,21740.30,58.70,0.00,2107.91,0.10,295.04,2770.12,1.39
18.90,8245.52,922.77,21696.60,58.48,0.00,2082.32,0.10,293.33,2799.45,1.40
19.00,8338.39,928.70,21652.89,58.26,0.00,2056.48,0.09,291.55,2828.61,1.41
19.10,8431.86,934.63,21609.19,58.05,0.00,2030.40,0.09,289.69,2857.57,1.43
19.20,8525.92,940.58,21565.49,57.83,0.00,2004.09,0.09,287.76,2886.35,1.44
19.30,8620.57,946.55,21521.79,57.61,0.00,1977.58,0.09,285.75,2914.93,1.46
19.40,8715.82,952.53,21478.09,57.39,0.00,1950.88,0.09,283.67,2943.29,1.47
19.50,8811.68,958.53,21434.38,57.17,0.00,1924.00,0.09,281.52,2971.44,1.49
19.60,8908.13,964.54,21390.68,56.95,0.00,1896.95,0.09,279.30,2999.38,1.50
19.70,9005.19,970.56,21346.98,56.73,0.00,1869.76,0.09,277.02,3027.08,1.51
19.80,9102.85,976.60,21303.28,56.52,0.00,1842.43,0.09,274.67,3054.54,1.53
19.90,9201.11,982.65,21259.58,56.30,0.00,1814.98,0.09,272.25,3081.77,1.54
20.00,9299.98,988.72,21215.87,56.08,0.00,1787.43,0.08,269.77,3108.75,1.55
20.10,9399.46,994.80,21172.17,55.86,0.00,1759.79,0.08,267.23,3135.47,1.57
20.20,9499.55,1000.90,21128.47,55.64,0.00,1732.07,0.08,264.63,3161.93,1.58
20.30,9600.25,1007.01,21084.77,55.42,0.00,1704.29,0.08,261.98,3188.13,1.59
20.40,9701.57,1013.13,21041.06,55.21,0.00,1676.46,0.08,259.26,3214.06,1.61
20.50,9803.49,1019.28,20997.36,54.99,0.00,1648.59,0.08,256.50,3239.71,1.62
20.60,9906.04,1025.43,20953.66,54.77,0.00,1620.71,0.08,253.68,3265.07,1.63
20.70,10009.20,1031.60,20909.96,54.55,0.00,1592.82,0.08,250.82,3290.16,1.65
20.80,10112.98,1037.79,20866.26,54.33,0.00,1564.94,0.07,247.90,3314.95,1.66
20.90,10217.38,1043.99,20822.55,54.11,0.00,1537.08,0.07,244.94,3339.44,1.67
21.00,10322.40,1050.21,20778.85,53.89,0.00,1509.25,0.07,241.94,3363.63,1.68
21.10,10428.04,1056.44,20735.15,53.68,0.00,1481.47,0.07,238.89,3387.52,1.69
21.20,10534.31,1062.69,20691.45,53.46,0.00,1453.76,0.07,235.81,3411.10,1.71
21.30,10641.21,1068.95,20647.75,53.24,0.00,1426.12,0.07,232.69,3434.37,1.72
21.40,10748.73,1075.23,20604.04,53.02,0.00,1398.56,0.07,229.53,3457.33,1.73
21.50,10856.88,1081.53,20560.34,52.80,0.00,1371.10,0.07,226.34,3479.96,1.74
21.60,10965.67,1087.84,20516.64,52.58,0.00,1343.75,0.07,223.12,3502.27,1.75
21.70,11075.08,1094.16,20472.94,52.36,0.00,1316.53,0.06,219.87,3524.26,1.76
21.80,11185.13,1100.51,20429.23,52.15,0.00,0.00,0.00,0.00,3524.26,1.76
21.90,11295.82,1106.87,20385.53,51.93,0.00,0.00,0.00,0.00,3524.26,1.76
22.00,11407.15,1113.25,20341.83,51.71,0.00,0.00,0.00,0.00,3524.26,1.76
22.10,11519.11,1119.65,20298.13,51.49,0.00,0.00,0.00,0.00,3524.26,1.76
22.20,11631.72,1126.06,20254.43,51.27,0.00,0.00,0.00,0.00,3524.26,1.76
22.30,11744.96,1132.49,20210.72,51.05,0.00,0.00,0.00,0.00,3524.26,1.76
22.40,11858.86,1138.93,20167.02,50.84,0.00,0.00,0.00,0.00,3524.26,1.76
22.50,11973.40,1145.39,20123.32,50.62,0.00,0.00,0.00,0.00,3524.26,1.76
22.60,12088.58,1151.87,20079.62,50.40,0.00,0.00,0.00,0.00,3524.26,1.76
22.70,12204.42,1158.36,20035.92,50.18,0.00,0.00,0.00,0.00,3524.26,1.76
22.80,12320.91,1164.87,19992.21,49.96,0.00,0.00,0.00,0.00,3524.26,1.76
22.90,12438.05,1171.39,19948.51,49.74,0.00,0.00,0.00,0.00,3524.26,1.76
23.00,12555.84,1177.93,19904.81,49.52,0.00,0.00,0.00,0.00,3524.26,1.76
23.10,12674.29,1184.49,19861.11,49.31,0.00,0.00,0.00,0.00,3524.26,1.76
23.20,12793.39,1191.06,19817.41,49.09,0.00,0.00,0.00,0.00,3524.26,1.76
23.30,12913.16,1197.66,19773.70,48.87,0.00,0.00,0.00,0.00,3524.26,1.76
23.40,13033.59,1204.26,19730.00,48.65,0.00,0.00,0.00,0.00,3524.26,1.76
23.50,13154.67,1210.89,19686.30,48.43,0.00,0.00,0.00,0.00,3524.26,1.76
23.60,13276.43,1217.53,19642.60,48.21,0.00,0.00,0.00,0.00,3524.26,1.76
23.70,13398.85,1224.19,19598.89,47.99,0.00,0.00,0.00,0.00,3524.26,1.76
23.80,13521.93,1230.86,19555.19,47.78,0.00,0.00,0.00,0.00,3524.26,1.76
23.90,13645.69,1237.56,19511.49,47.56,0.00,0.00,0.00,0.00,3524.26,1.76
24.00,13770.12,1244.27,19467.79,47.34,0.00,0.00,0.00,0.00,3524.26,1.76
24.10,13895.21,1250.99,19424.09,47.12,0.00,0.00,0.00,0.00,3524.26,1.76
24.20,14020.99,1257.74,19380.38,46.90,0.00,0.00,0.00,0.00,3524.26,1.76
24.30,14147.44,1264.50,19336.68,46.68,0.00,0.00,0.00,0.00,3524.26,1.76
24.40,14274.57,1271.28,19292.98,46.46,0.00,0.00,0.00,0.00,3524.26,1.76
24.50,14402.37,1278.08,19249.28,46.25,0.00,0.00,0.00,0.00,3524.26,1.76
24.60,14530.86,1284.89,19205.58,46.03,0.00,0.00,0.00,0.00,3524.26,1.76
24.70,14660.04,1291.73,19161.87,45.81,0.00,0.00,0.00,0.00,3524.26,1.76
24.80,14789.89,1298.58,19118.17,45.59,0.00,0.00,0.00,0.00,3524.26,1.76
24.90,14920.44,1305.44,19074.47,45.37,0.00,0.00,0.00,0.00,3524.26,1.76
25.00,15051.67,1312.33,19030.77,45.15,0.00,0.00,0.00,0.00,3524.26,1.76
25.10,15183.59,1319.24,18987.06,44.94,0.00,0.00,0.00,0.00,3524.26,1.76
25.20,15316.21,1326.16,18943.36,44.72,0.00,0.00,0.00,0.00,3524.26,1.76
25.30,15449.52,1333.10,18899.66,44.50,0.00,0.00,0.00,0.00,3524.26,1.76
25.40,15583.53,1340.06,18855.96,44.28,0.00,0.00,0.00,0.00,3524.26,1.76
25.50,15718.23,1347.04,18812.26,44.06,0.00,0.00,0.00,0.00,3524.26,1.76
25.60,15853.63,1354.03,18768.55,43.84,0.00,0.00,0.00,0.00,3524.26,1.76
25.70,15989.74,1361.05,18724.85,43.62,0.00,0.00,0.00,0.00,3524.26,1.76
25.80,16126.55,1368.08,18681.15,43.41,0.00,0.00,0.00,0.00,3524.26,1.76
25.90,16264.06,1375.13,18637.45,43.19,0.00,0.00,0.00,0.00,3524.26,1.76
26.00,16402.28,1382.21,18593.75,42.97,0.00,0.00,0.00,0.00,3524.26,1.76
26.10,16541.21,1389.30,18550.04,42.75,0.00,0.00,0.00,0.00,3524.26,1.76
26.20,16680.85,1396.40,18506.34,42.53,0.00,0.00,0.00,0.00,3524.26,1.76
26.30,16821.20,1403.53,18462.64,42.31,0.00,0.00,0.00,0.00,3524.26,1.76
26.40,16962.27,1410.68,18418.94,42.09,0.00,0.00,0.00,0.00,3524.26,1.76
26.50,17104.06,1417.85,18375.24,41.88,0.00,0.00,0.00,0.00,3524.26,1.76
26.60,17246.56,1425.03,18331.53,41.66,0.00,0.00,0.00,0.00,3524.26,1.76
26.70,17389.78,1432.24,18287.83,41.44,0.00,0.00,0.00,0.00,3524.26,1.76
26.80,17533.73,1439.47,18244.13,41.22,0.00,0.00,0.00,0.00,3524.26,1.76
26.90,17678.40,1446.71,18200.43,41.00,0.00,0.00,0.00,0.00,3524.26,1.76
27.00,17823.80,1453.98,18156.72,40.78,0.00,0.00,0.00,0.00,3524.26,1.76
27.10,17969.92,1461.26,18113.02,40.57,0.00,0.00,0.00,0.00,3524.26,1.76
27.20,18116.78,1468.57,18069.32,40.35,0.00,0.00,0.00,0.00,3524.26,1.76
27.30,18264.37,1475.89,18025.62,40.13,0.00,0.00,0.00,0.00,3524.26,1.76
27.40,18412.69,1483.24,17981.92,39.91,0.00,0.00,0.00,0.00,3524.26,1.76
27.50,18561.75,1490.60,17938.21,39.69,0.00,0.00,0.00,0.00,3524.26,1.76
27.60,18711.55,1497.99,17894.51,39.47,0.00,0.00,0.00,0.00,3524.26,1.76
27.70,18862.09,1505.39,17850.81,39.25,0.00,0.00,0.00,0.00,3524.26,1.76
27.80,19013.37,1512.82,17807.11,39.04,0.00,0.00,0.00,0.00,3524.26,1.76
27.90,19165.40,1520.27,17763.41,38.82,0.00,0.00,0.00,0.00,3524.26,1.76
28.00,19318.17,1527.74,17719.70,38.60,0.00,0.00,0.00,0.00,3524.26,1.76
28.10,19471.70,1535.22,17676.00,38.38,0.00,0.00,0.00,0.00,3524.26,1.76
28.20,19625.97,1542.73,17632.30,38.16,0.00,0.00,0.00,0.00,3524.26,1.76
28.30,19781.00,1550.27,17588.60,37.94,0.00,0.00,0.00,0.00,3524.26,1.76
28.40,19936.78,1557.82,17544.89,37.72,0.00,0.00,0.00,0.00,3524.26,1.76
28.50,20093.32,1565.39,17501.19,37.51,0.00,0.00,0.00,0.00,3524.26,1.76
28.60,20250.62,1572.99,17457.49,37.29,0.00,0.00,0.00,0.00,3524.26,1.76
28.70,20408.68,1580.60,17413.79,37.07,0.00,0.00,0.00,0.00,3524.26,1.76
28.80,20567.50,1588.24,17370.09,36.85,0.00,0.00,0.00,0.00,3524.26,1.76
28.90,20727.09,1595.90,17326.38,36.63,0.00,0.00,0.00,0.00,3524.26,1.76
29.00,20887.45,1603.58,17282.68,36.41,0.00,0.00,0.00,0.00,3524.26,1.76
29.10,21048.58,1611.29,17238.98,36.19,0.00,0.00,0.00,0.00,3524.26,1.76
29.20,21210.48,1619.01,17195.28,35.98,0.00,0.00,0.00,0.00,3524.26,1.76
29.30,21373.15,1626.76,17151.58,35.76,0.00,0.00,0.00,0.00,3524.26,1.76
