Time (s),Altitude (m),Velocity (m/s),Mass (kg),Fuel (%),Air Density (kg/m^3),Drag Force (N),Drag Accel (m/s^2)
0.00,0.30,3.02,29956.30,99.78,1.22,23.52,0.00
0.10,0.91,6.04,29912.60,99.56,1.22,72.52,0.00
0.20,1.81,9.07,29868.89,99.34,1.22,148.56,0.00
0.30,3.02,12.11,29825.19,99.13,1.22,251.78,0.01
0.40,4.54,15.15,29781.49,98.91,1.22,382.32,0.01
0.50,6.36,18.19,29737.79,98.69,1.22,540.31,0.02
0.60,8.48,21.24,29694.09,98.47,1.22,725.88,0.02
0.70,10.91,24.30,29650.38,98.25,1.22,939.13,0.03
0.80,13.65,27.36,29606.68,98.03,1.22,1180.17,0.04
0.90,16.69,30.43,29562.98,97.81,1.22,1449.13,0.05
1.00,20.04,33.50,29519.28,97.60,1.22,1746.08,0.06
1.10,23.70,36.58,29475.57,97.38,1.22,2071.13,0.07
1.20,27.67,39.67,29431.87,97.16,1.22,2424.36,0.08
1.30,31.94,42.76,29388.17,96.94,1.22,2805.84,0.10
1.40,36.53,45.85,29344.47,96.72,1.22,3215.65,0.11
1.50,41.42,48.95,29300.77,96.50,1.22,3653.86,0.12
1.60,46.63,52.05,29257.06,96.29,1.22,4120.52,0.14
1.70,52.14,55.16,29213.36,96.07,1.22,4615.69,0.16
1.80,57.97,58.28,29169.66,95.85,1.22,5139.40,0.18
1.90,64.11,61.40,29125.96,95.63,1.22,5691.71,0.20
2.00,70.56,64.52,29082.26,95.41,1.22,6272.63,0.22
2.10,77.33,67.65,29038.55,95.19,1.22,6882.19,0.24
2.20,84.41,70.78,28994.85,94.97,1.22,7520.40,0.26
2.30,91.80,73.92,28951.15,94.76,1.22,8187.29,0.28
2.40,99.51,77.07,28907.45,94.54,1.21,8882.85,0.31
2.50,107.53,80.21,28863.74,94.32,1.21,9607.07,0.33
2.60,115.86,83.37,28820.04,94.10,1.21,10359.94,0.36
2.70,124.52,86.52,28776.34,93.88,1.21,11141.44,0.39
2.80,133.49,89.69,28732.64,93.66,1.21,11951.56,0.42
2.90,142.77,92.85,28688.94,93.44,1.21,12790.24,0.45
3.00,152.37,96.02,28645.23,93.23,1.21,13657.45,0.48
3.10,162.29,99.20,28601.53,93.01,1.21,14553.15,0.51
3.20,172.53,102.38,28557.83,92.79,1.21,15477.27,0.54
3.30,183.09,105.56,28514.13,92.57,1.20,16429.75,0.58
3.40,193.96,108.75,28470.43,92.35,1.20,17410.52,0.61
3.50,205.16,111.94,28426.72,92.13,1.20,18419.51,0.65
3.60,216.67,115.14,28383.02,91.92,1.20,19456.62,0.69
3.70,228.50,118.34,28339.32,91.70,1.20,20521.76,0.72
3.80,240.66,121.54,28295.62,91.48,1.20,21614.83,0.76
3.90,253.13,124.75,28251.92,91.26,1.20,22735.73,0.80
4.00,265.93,127.96,28208.21,91.04,1.20,23884.34,0.85
4.10,279.05,131.18,28164.51,90.82,1.19,25060.53,0.89
4.20,292.49,134.40,28120.81,90.60,1.19,26264.18,0.93
4.30,306.25,137.62,28077.11,90.39,1.19,27495.15,0.98
4.40,320.34,140.85,28033.40,90.17,1.19,28753.29,1.03
4.50,334.74,144.08,27989.70,89.95,1.19,30038.45,1.07
4.60,349.48,147.32,27946.00,89.73,1.19,31350.48,1.12
4.70,364.53,150.56,27902.30,89.51,1.18,32689.19,1.17
4.80,379.91,153.80,27858.60,89.29,1.18,34054.44,1.22
4.90,395.62,157.05,27814.89,89.07,1.18,35446.02,1.27
5.00,411.65,160.29,27771.19,88.86,1.18,36863.75,1.33
5.10,428.00,163.55,27727.49,88.64,1.18,38307.45,1.38
5.20,444.68,166.80,27683.79,88.42,1.18,39776.90,1.44
5.30,461.69,170.06,27640.09,88.20,1.17,41271.90,1.49
5.40,479.02,173.33,27596.38,87.98,1.17,42792.23,1.55
5.50,496.68,176.59,27552.68,87.76,1.17,44337.67,1.61
5.60,514.67,179.86,27508.98,87.54,1.17,45907.99,1.67
5.70,532.98,183.13,27465.28,87.33,1.17,47502.96,1.73
5.80,551.62,186.41,27421.57,87.11,1.16,49122.33,1.79
5.90,570.59,189.69,27377.87,86.89,1.16,50765.86,1.85
6.00,589.89,192.97,27334.17,86.67,1.16,52433.28,1.92
6.10,609.51,196.25,27290.47,86.45,1.16,54124.34,1.98
6.20,629.46,199.54,27246.77,86.23,1.15,55838.77,2.05
6.30,649.75,202.83,27203.06,86.02,1.15,57576.30,2.12
6.40,670.36,206.12,27159.36,85.80,1.15,59336.64,2.18
6.50,691.30,209.42,27115.66,85.58,1.15,61119.51,2.25
6.60,712.57,212.72,27071.96,85.36,1.15,62924.62,2.32
6.70,734.18,216.02,27028.26,85.14,1.14,64751.66,2.40
6.80,756.11,219.33,26984.55,84.92,1.14,66600.34,2.47
6.90,778.37,222.63,26940.85,84.70,1.14,68470.35,2.54
7.00,800.97,225.94,26897.15,84.49,1.14,70361.36,2.62
7.10,823.89,229.26,26853.45,84.27,1.13,72273.07,2.69
7.20,847.15,232.57,26809.74,84.05,1.13,74205.14,2.77
7.30,870.74,235.89,26766.04,83.83,1.13,76157.24,2.85
7.40,894.66,239.21,26722.34,83.61,1.13,78129.04,2.92
7.50,918.91,242.53,26678.64,83.39,1.12,80120.20,3.00
7.60,943.50,245.86,26634.94,83.17,1.12,82130.36,3.08
7.70,968.42,249.18,26591.23,82.96,1.12,84159.19,3.16
7.80,993.67,252.51,26547.53,82.74,1.12,86206.32,3.25
7.90,1019.25,255.85,26503.83,82.52,1.11,88271.40,3.33
8.00,1045.17,259.18,26460.13,82.30,1.11,90354.06,3.41
8.10,1071.42,262.52,26416.43,82.08,1.11,92453.93,3.50
8.20,1098.01,265.86,26372.72,81.86,1.10,94570.63,3.59
8.30,1124.93,269.20,26329.02,81.65,1.10,96703.80,3.67
8.40,1152.18,272.54,26285.32,81.43,1.10,98853.05,3.76
8.50,1179.77,275.89,26241.62,81.21,1.10,101018.00,3.85
8.60,1207.70,279.24,26197.92,80.99,1.09,103198.25,3.94
8.70,1235.95,282.59,26154.21,80.77,1.09,105393.42,4.03
8.80,1264.55,285.94,26110.51,80.55,1.09,107603.11,4.12
8.90,1293.48,289.30,26066.81,80.33,1.08,109826.92,4.21
9.00,1322.74,292.65,26023.11,80.12,1.08,112064.45,4.31
9.10,1352.34,296.01,25979.40,79.90,1.08,114315.30,4.40
9.20,1382.28,299.37,25935.70,79.68,1.07,116579.05,4.49
9.30,1412.56,302.74,25892.00,79.46,1.07,118855.30,4.59
9.40,1443.17,306.10,25848.30,79.24,1.07,121143.63,4.69
9.50,1474.11,309.47,25804.60,79.02,1.06,123443.63,4.78
9.60,1505.40,312.84,25760.89,78.80,1.06,125754.88,4.88
9.70,1537.02,316.21,25717.19,78.59,1.06,128076.95,4.98
9.80,1568.98,319.59,25673.49,78.37,1.05,130409.43,5.08
9.90,1601.27,322.96,25629.79,78.15,1.05,132751.89,5.18
10.00,1633.91,326.34,25586.09,77.93,1.05,135103.91,5.28
10.10,1666.88,329.72,25542.38,77.71,1.04,137465.05,5.38
10.20,1700.19,333.11,25498.68,77.49,1.04,139834.88,5.48
10.30,1733.84,336.49,25454.98,77.27,1.04,142212.97,5.59
10.40,1767.83,339.88,25411.28,77.06,1.03,144598.90,5.69
10.50,1802.15,343.27,25367.57,76.84,1.03,146992.22,5.79
10.60,1836.82,346.66,25323.87,76.62,1.03,149392.49,5.90
10.70,1871.82,350.05,25280.17,76.40,1.02,151799.30,6.00
10.80,1907.17,353.44,25236.47,76.18,1.02,154212.18,6.11
10.90,1942.85,356.84,25192.77,75.96,1.02,156630.71,6.22
11.00,1978.88,360.24,25149.06,75.75,1.01,159054.45,6.32
11.10,2015.24,363.64,25105.36,75.53,1.01,161482.96,6.43
11.20,2051.95,367.05,25061.66,75.31,1.00,163915.79,6.54
11.30,2088.99,370.45,25017.96,75.09,1.00,166352.51,6.65
11.40,2126.38,373.86,24974.26,74.87,1.00,168792.68,6.76
11.50,2164.10,377.27,24930.55,74.65,0.99,171235.85,6.87
11.60,2202.17,380.68,24886.85,74.43,0.99,173681.59,6.98
11.70,2240.58,384.10,24843.15,74.22,0.99,176129.45,7.09
11.80,2279.33,387.51,24799.45,74.00,0.98,178578.99,7.20
11.90,2318.43,390.93,24755.75,73.78,0.98,181029.78,7.31
12.00,2357.86,394.35,24712.04,73.56,0.97,183481.37,7.42
12.10,2397.64,397.78,24668.34,73.34,0.97,185933.33,7.54
12.20,2437.76,401.21,24624.64,73.12,0.97,188385.21,7.65
12.30,2478.22,404.63,24580.94,72.90,0.96,190836.58,7.76
12.40,2519.03,408.07,24537.23,72.69,0.96,193287.01,7.88
12.50,2560.18,411.50,24493.53,72.47,0.95,195736.05,7.99
12.60,2601.67,414.94,24449.83,72.25,0.95,198183.26,8.11
12.70,2643.51,418.37,24406.13,72.03,0.95,200628.23,8.22
12.80,2685.69,421.82,24362.43,71.81,0.94,203070.51,8.34
12.90,2728.22,425.26,24318.72,71.59,0.94,205509.67,8.45
13.00,2771.09,428.71,24275.02,71.38,0.93,207945.29,8.57
13.10,2814.31,432.16,24231.32,71.16,0.93,210376.93,8.68
13.20,2857.87,435.61,24187.62,70.94,0.93,212804.17,8.80
13.30,2901.77,439.06,24143.92,70.72,0.92,215226.58,8.91
13.40,2946.02,442.52,24100.21,70.50,0.92,217643.75,9.03
13.50,2990.62,445.98,24056.51,70.28,0.91,220055.24,9.15
13.60,3035.57,449.45,24012.81,70.06,0.91,222460.63,9.26
13.70,3080.86,452.91,23969.11,69.85,0.91,224859.52,9.38
13.80,3126.50,456.38,23925.40,69.63,0.90,227251.48,9.50
13.90,3172.48,459.86,23881.70,69.41,0.90,229636.10,9.62
14.00,3218.82,463.33,23838.00,69.19,0.89,232012.98,9.73
14.10,3265.50,466.81,23794.30,68.97,0.89,234381.69,9.85
14.20,3312.53,470.30,23750.60,68.75,0.88,236741.83,9.97
14.30,3359.91,473.78,23706.89,68.53,0.88,239093.00,10.09
14.40,3407.63,477.27,23663.19,68.32,0.88,241434.80,10.20
14.50,3455.71,480.77,23619.49,68.10,0.87,243766.82,10.32
14.60,3504.14,484.26,23575.79,67.88,0.87,246088.67,10.44
14.70,3552.91,487.76,23532.09,67.66,0.86,248399.96,10.56
14.80,3602.04,491.27,23488.38,67.44,0.86,250700.28,10.67
14.90,3651.52,494.77,23444.68,67.22,0.85,252989.26,10.79
15.00,3701.34,498.29,23400.98,67.00,0.85,255266.50,10.91
15.10,3751.52,501.80,23357.28,66.79,0.85,257531.62,11.03
15.20,3802.06,505.32,23313.58,66.57,0.84,259784.24,11.14
15.30,3852.94,508.85,23269.87,66.35,0.84,262023.98,11.26
15.40,3904.18,512.37,23226.17,66.13,0.83,264250.47,11.38
15.50,3955.77,515.91,23182.47,65.91,0.83,266463.33,11.49
15.60,4007.71,519.44,23138.77,65.69,0.82,268662.19,11.61
15.70,4060.01,522.98,23095.06,65.48,0.82,270846.69,11.73
15.80,4112.67,526.53,23051.36,65.26,0.81,273016.46,11.84
15.90,4165.67,530.08,23007.66,65.04,0.81,275171.14,11.96
16.00,4219.04,533.64,22963.96,64.82,0.80,277310.37,12.08
16.10,4272.76,537.20,22920.26,64.60,0.80,279433.81,12.19
16.20,4326.83,540.76,22876.55,64.38,0.80,281541.09,12.31
16.30,4381.27,544.33,22832.85,64.16,0.79,283631.86,12.42
16.40,4436.06,547.90,22789.15,63.95,0.79,285705.80,12.54
16.50,4491.20,551.48,22745.45,63.73,0.78,287762.54,12.65
16.60,4546.71,555.07,22701.75,63.51,0.78,289801.75,12.77
16.70,4602.58,558.66,22658.04,63.29,0.77,291823.10,12.88
16.80,4658.80,562.26,22614.34,63.07,0.77,293826.26,12.99
16.90,4715.39,565.86,22570.64,62.85,0.76,295810.89,13.11
17.00,4772.34,569.47,22526.94,62.63,0.76,297776.66,13.22
17.10,4829.64,573.08,22483.23,62.42,0.75,299723.26,13.33
17.20,4887.31,576.70,22439.53,62.20,0.75,301650.37,13.44
17.30,4945.35,580.32,22395.83,61.98,0.75,303557.67,13.55
17.40,5003.74,583.95,22352.13,61.76,0.74,305444.84,13.67
17.50,5062.50,587.59,22308.43,61.54,0.74,307311.58,13.78
17.60,5121.62,591.24,22264.72,61.32,0.73,309157.58,13.89
17.70,5181.11,594.89,22221.02,61.11,0.73,310982.53,13.99
17.80,5240.97,598.54,22177.32,60.89,0.72,312786.14,14.10
17.90,5301.19,602.21,22133.62,60.67,0.72,314568.11,14.21
18.00,5361.78,605.88,22089.92,60.45,0.71,316328.14,14.32
18.10,5422.73,609.56,22046.21,60.23,0.71,318065.95,14.43
18.20,5484.06,613.24,22002.51,60.01,0.70,319781.24,14.53
18.30,5545.75,616.93,21958.81,59.79,0.70,321473.74,14.64
18.40,5607.81,620.63,21915.11,59.58,0.69,323143.16,14.75
18.50,5670.25,624.34,21871.41,59.36,0.69,324789.23,14.85
18.60,5733.05,628.05,21827.70,59.14,0.68,326411.67,14.95
18.70,5796.23,631.78,21784.00,58.92,0.68,328010.21,15.06
18.80,5859.78,635.51,21740.30,58.70,0.67,329584.58,15.16
18.90,5923.70,639.24,21696.60,58.48,0.67,331134.53,15.26
19.00,5988.00,642.99,21652.89,58.26,0.67,332659.77,15.36
19.10,6052.68,646.74,21609.19,58.05,0.66,334160.07,15.46
19.20,6117.73,650.51,21565.49,57.83,0.66,335635.16,15.56
19.30,6183.16,654.28,21521.79,57.61,0.65,337084.80,15.66
19.40,6248.96,658.06,21478.09,57.39,0.65,338508.73,15.76
19.50,6315.15,661.85,21434.38,57.17,0.64,339906.70,15.86
19.60,6381.71,665.65,21390.68,56.95,0.64,341278.48,15.95
19.70,6448.66,669.46,21346.98,56.73,0.63,342623.83,16.05
19.80,6515.98,673.27,21303.28,56.52,0.63,343942.51,16.15
19.90,6583.69,677.10,21259.58,56.30,0.62,345234.29,16.24
20.00,6651.79,680.94,21215.87,56.08,0.62,346498.93,16.33
20.10,6720.27,684.78,21172.17,55.86,0.61,347736.22,16.42
20.20,6789.13,688.64,21128.47,55.64,0.61,348945.92,16.52
20.30,6858.38,692.50,21084.77,55.42,0.60,350127.82,16.61
20.40,6928.02,696.38,21041.06,55.21,0.60,351281.69,16.70
20.50,6998.04,700.27,20997.36,54.99,0.59,352407.33,16.78
20.60,7068.46,704.17,20953.66,54.77,0.59,353504.53,16.87
20.70,7139.27,708.07,20909.96,54.55,0.58,354573.06,16.96
20.80,7210.47,711.99,20866.26,54.33,0.58,355612.74,17.04
20.90,7282.06,715.92,20822.55,54.11,0.58,356623.35,17.13
21.00,7354.05,719.87,20778.85,53.89,0.57,357604.69,17.21
21.10,7426.43,723.82,20735.15,53.68,0.57,358556.57,17.29
21.20,7499.21,727.78,20691.45,53.46,0.56,359478.80,17.37
21.30,7572.38,731.76,20647.75,53.24,0.56,360371.19,17.45
21.40,7645.96,735.75,20604.04,53.02,0.55,361233.54,17.53
21.50,7719.93,739.75,20560.34,52.80,0.55,362065.67,17.61
21.60,7794.31,743.77,20516.64,52.58,0.54,362867.40,17.69
21.70,7869.09,747.79,20472.94,52.36,0.54,363638.55,17.76
21.80,7944.27,751.83,20429.23,52.15,0.53,364378.95,17.84
21.90,8019.86,755.88,20385.53,51.93,0.53,365088.42,17.91
22.00,8095.86,759.95,20341.83,51.71,0.52,365766.78,17.98
22.10,8172.26,764.03,20298.13,51.49,0.52,366413.89,18.05
22.20,8249.07,768.12,20254.43,51.27,0.51,367029.56,18.12
22.30,8326.29,772.22,20210.72,51.05,0.51,367613.64,18.19
22.40,8403.93,776.34,20167.02,50.84,0.51,368165.97,18.26
22.50,8481.97,780.48,20123.32,50.62,0.50,368686.39,18.32
22.60,8560.44,784.62,20079.62,50.40,0.50,369174.76,18.39
22.70,8639.32,788.79,20035.92,50.18,0.49,369630.91,18.45
22.80,8718.61,792.96,19992.21,49.96,0.49,370054.71,18.51
22.90,8798.33,797.15,19948.51,49.74,0.48,370446.01,18.57
23.00,8878.46,801.36,19904.81,49.52,0.48,370804.67,18.63
23.10,8959.02,805.58,19861.11,49.31,0.47,371130.55,18.69
23.20,9040.00,809.82,19817.41,49.09,0.47,371423.52,18.74
23.30,9121.41,814.08,19773.70,48.87,0.46,371683.44,18.80
23.40,9203.25,818.35,19730.00,48.65,0.46,371910.19,18.85
23.50,9285.51,822.63,19686.30,48.43,0.46,372103.64,18.90
23.60,9368.20,826.93,19642.60,48.21,0.45,372263.67,18.95
23.70,9451.33,831.25,19598.89,47.99,0.45,372390.15,19.00
23.80,9534.89,835.59,19555.19,47.78,0.44,372482.98,19.05
23.90,9618.88,839.94,19511.49,47.56,0.44,372542.03,19.09
24.00,9703.31,844.31,19467.79,47.34,0.43,372567.20,19.14
24.10,9788.18,848.70,19424.09,47.12,0.43,372558.38,19.18
24.20,9873.49,853.10,19380.38,46.90,0.42,372515.46,19.22
24.30,9959.24,857.53,19336.68,46.68,0.42,372438.35,19.26
24.40,10045.44,861.97,19292.98,46.46,0.41,372326.95,19.30
24.50,10132.08,866.43,19249.28,46.25,0.41,372181.17,19.33
24.60,10219.17,870.90,19205.58,46.03,0.41,372000.90,19.37
24.70,10306.71,875.40,19161.87,45.81,0.40,371786.07,19.40
24.80,10394.71,879.92,19118.17,45.59,0.40,371536.60,19.43
24.90,10483.15,884.45,19074.47,45.37,0.39,371252.39,19.46
25.00,10572.05,889.01,19030.77,45.15,0.39,370933.39,19.49
25.10,10661.41,893.58,18987.06,44.94,0.38,370579.50,19.52
25.20,10751.23,898.18,18943.36,44.72,0.38,370190.66,19.54
25.30,10841.51,902.79,18899.66,44.50,0.38,369766.82,19.56
25.40,10932.25,907.43,18855.96,44.28,0.37,369307.89,19.59
25.50,11023.46,912.09,18812.26,44.06,0.37,368813.84,19.60
25.60,11115.37,919.08,18768.55,43.84,0.00,0.00,0.00
25.70,11207.98,926.09,18724.85,43.62,0.00,0.00,0.00
25.80,11301.29,933.13,18681.15,43.41,0.00,0.00,0.00
25.90,11395.31,940.18,18637.45,43.19,0.00,0.00,0.00
26.00,11490.03,947.25,18593.75,42.97,0.00,0.00,0.00
26.10,11585.46,954.34,18550.04,42.75,0.00,0.00,0.00
26.20,11681.61,961.44,18506.34,42.53,0.00,0.00,0.00
26.30,11778.47,968.57,18462.64,42.31,0.00,0.00,0.00
26.40,11876.04,975.72,18418.94,42.09,0.00,0.00,0.00
26.50,11974.33,982.88,18375.24,41.88,0.00,0.00,0.00
26.60,12073.33,990.07,18331.53,41.66,0.00,0.00,0.00
26.70,12173.06,997.27,18287.83,41.44,0.00,0.00,0.00
26.80,12273.51,1004.50,18244.13,41.22,0.00,0.00,0.00
26.90,12374.68,1011.74,18200.43,41.00,0.00,0.00,0.00
27.00,12476.58,1019.00,18156.72,40.78,0.00,0.00,0.00
27.10,12579.21,1026.29,18113.02,40.57,0.00,0.00,0.00
27.20,12682.57,1033.59,18069.32,40.35,0.00,0.00,0.00
27.30,12786.66,1040.91,18025.62,40.13,0.00,0.00,0.00
27.40,12891.49,1048.26,17981.92,39.91,0.00,0.00,0.00
27.50,12997.05,1055.62,17938.21,39.69,0.00,0.00,0.00
27.60,13103.35,1063.00,17894.51,39.47,0.00,0.00,0.00
27.70,13210.39,1070.41,17850.81,39.25,0.00,0.00,0.00
27.80,13318.17,1077.83,17807.11,39.04,0.00,0.00,0.00
27.90,13426.70,1085.28,17763.41,38.82,0.00,0.00,0.00
28.00,13535.98,1092.74,17719.70,38.60,0.00,0.00,0.00
28.10,13646.00,1100.23,17676.00,38.38,0.00,0.00,0.00
28.20,13756.77,1107.74,17632.30,38.16,0.00,0.00,0.00
28.30,13868.30,1115.27,17588.60,37.94,0.00,0.00,0.00
28.40,13980.58,1122.82,17544.89,37.72,0.00,0.00,0.00
28.50,14093.62,1130.39,17501.19,37.51,0.00,0.00,0.00
28.60,14207.42,1137.99,17457.49,37.29,0.00,0.00,0.00
28.70,14321.98,1145.60,17413.79,37.07,0.00,0.00,0.00
28.80,14437.30,1153.24,17370.09,36.85,0.00,0.00,0.00
28.90,14553.39,1160.89,17326.38,36.63,0.00,0.00,0.00
29.00,14670.25,1168.57,17282.68,36.41,0.00,0.00,0.00
29.10,14787.88,1176.28,17238.98,36.19,0.00,0.00,0.00
29.20,14906.28,1184.00,17195.28,35.98,0.00,0.00,0.00
29.30,15025.45,1191.75,17151.58,35.76,0.00,0.00,0.00
29.40,15145.40,1199.51,17107.87,35.54,0.00,0.00,0.00
29.50,15266.13,1207.30,17064.17,35.32,0.00,0.00,0.00
29.60,15387.65,1215.12,17020.47,35.10,0.00,0.00,0.00
29.70,15509.94,1222.95,16976.77,34.88,0.00,0.00,0.00
29.80,15633.02,1230.81,16933.07,34.67,0.00,0.00,0.00
29.90,15756.89,1238.69,16889.36,34.45,0.00,0.00,0.00
30.00,15881.55,1246.60,16845.66,34.23,0.00,0.00,0.00
30.10,16007.00,1254.52,16801.96,34.01,0.00,0.00,0.00
30.20,16133.25,1262.47,16758.26,33.79,0.00,0.00,0.00
30.30,16260.30,1270.45,16714.55,33.57,0.00,0.00,0.00
30.40,16388.14,1278.45,16670.85,33.35,0.00,0.00,0.00
30.50,16516.79,1286.47,16627.15,33.14,0.00,0.00,0.00
30.60,16646.24,1294.51,16583.45,32.92,0.00,0.00,0.00
30.70,16776.50,1302.58,16539.75,32.70,0.00,0.00,0.00
30.80,16907.56,1310.67,16496.04,32.48,0.00,0.00,0.00
30.90,17039.44,1318.79,16452.34,32.26,0.00,0.00,0.00
31.00,17172.13,1326.93,16408.64,32.04,0.00,0.00,0.00
31.10,17305.64,1335.09,16364.94,31.82,0.00,0.00,0.00
31.20,17439.97,1343.28,16321.24,31.61,0.00,0.00,0.00
31.30,17575.12,1351.50,16277.53,31.39,0.00,0.00,0.00
31.40,17711.10,1359.73,16233.83,31.17,0.00,0.00,0.00
31.50,17847.90,1368.00,16190.13,30.95,0.00,0.00,0.00
31.60,17985.52,1376.29,16146.43,30.73,0.00,0.00,0.00
31.70,18123.98,1384.60,16102.72,30.51,0.00,0.00,0.00
31.80,18263.28,1392.94,16059.02,30.30,0.00,0.00,0.00
31.90,18403.41,1401.30,16015.32,30.08,0.00,0.00,0.00
32.00,18544.38,1409.69,15971.62,29.86,0.00,0.00,0.00
32.10,18686.19,1418.11,15927.92,29.64,0.00,0.00,0.00
32.20,18828.84,1426.55,15884.21,29.42,0.00,0.00,0.00
32.30,18972.34,1435.02,15840.51,29.20,0.00,0.00,0.00
32.40,19116.70,1443.51,15796.81,28.98,0.00,0.00,0.00
32.50,19261.90,1452.03,15753.11,28.77,0.00,0.00,0.00
32.60,19407.96,1460.57,15709.41,28.55,0.00,0.00,0.00
32.70,19554.87,1469.15,15665.70,28.33,0.00,0.00,0.00
32.80,19702.64,1477.75,15622.00,28.11,0.00,0.00,0.00
32.90,19851.28,1486.37,15578.30,27.89,0.00,0.00,0.00
33.00,20000.78,1495.02,15534.60,27.67,0.00,0.00,0.00
33.10,20151.15,1503.70,15490.90,27.45,0.00,0.00,0.00
33.20,20302.40,1512.41,15447.19,27.24,0.00,0.00,0.00
33.30,20454.51,1521.15,15403.49,27.02,0.00,0.00,0.00
33.40,20607.50,1529.91,15359.79,26.80,0.00,0.00,0.00
33.50,20761.37,1538.70,15316.09,26.58,0.00,0.00,0.00
33.60,20916.12,1547.52,15272.38,26.36,0.00,0.00,0.00
33.70,21071.76,1556.36,15228.68,26.14,0.00,0.00,0.00
33.80,21228.28,1565.24,15184.98,25.92,0.00,0.00,0.00
33.90,21385.70,1574.14,15141.28,25.71,0.00,0.00,0.00
34.00,21544.00,1583.07,15097.58,25.49,0.00,0.00,0.00
34.10,21703.21,1592.03,15053.87,25.27,0.00,0.00,0.00
34.20,21863.31,1601.02,15010.17,25.05,0.00,0.00,0.00
34.30,22024.31,1610.04,14966.47,24.83,0.00,0.00,0.00
34.40,22186.22,1619.09,14922.77,24.61,0.00,0.00,0.00
34.50,22349.04,1628.16,14879.07,24.40,0.00,0.00,0.00
34.60,22512.76,1637.27,14835.36,24.18,0.00,0.00,0.00
34.70,22677.40,1646.40,14791.66,23.96,0.00,0.00,0.00
34.80,22842.96,1655.57,14747.96,23.74,0.00,0.00,0.00
34.90,23009.44,1664.77,14704.26,23.52,0.00,0.00,0.00
35.00,23176.84,1673.99,14660.55,23.30,0.00,0.00,0.00
35.10,23345.16,1683.25,14616.85,23.08,0.00,0.00,0.00
35.20,23514.42,1692.54,14573.15,22.87,0.00,0.00,0.00
35.30,23684.60,1701.85,14529.45,22.65,0.00,0.00,0.00
35.40,23855.72,1711.20,14485.75,22.43,0.00,0.00,0.00
35.50,24027.78,1720.58,14442.04,22.21,0.00,0.00,0.00
35.60,24200.78,1729.99,14398.34,21.99,0.00,0.00,0.00
35.70,24374.72,1739.44,14354.64,21.77,0.00,0.00,0.00
35.80,24549.61,1748.91,14310.94,21.55,0.00,0.00,0.00
35.90,24725.46,1758.42,14267.24,21.34,0.00,0.00,0.00
36.00,24902.25,1767.96,14223.53,21.12,0.00,0.00,0.00
36.10,25080.01,1777.53,14179.83,20.90,0.00,0.00,0.00
36.20,25258.72,1787.14,14136.13,20.68,0.00,0.00,0.00
36.30,25438.40,1796.77,14092.43,20.46,0.00,0.00,0.00
36.40,25619.04,1806.44,14048.72,20.24,0.00,0.00,0.00
36.50,25800.66,1816.14,14005.02,20.03,0.00,0.00,0.00
36.60,25983.24,1825.88,13961.32,19.81,0.00,0.00,0.00
36.70,26166.81,1835.65,13917.62,19.59,0.00,0.00,0.00
36.80,26351.35,1845.45,13873.92,19.37,0.00,0.00,0.00
36.90,26536.88,1855.29,13830.21,19.15,0.00,0.00,0.00
37.00,26723.40,1865.16,13786.51,18.93,0.00,0.00,0.00
37.10,26910.91,1875.07,13742.81,18.71,0.00,0.00,0.00
37.20,27099.41,1885.01,13699.11,18.50,0.00,0.00,0.00
37.30,27288.91,1894.99,13655.41,18.28,0.00,0.00,0.00
37.40,27479.41,1905.00,13611.70,18.06,0.00,0.00,0.00
37.50,27670.91,1915.05,13568.00,17.84,0.00,0.00,0.00
37.60,27863.42,1925.13,13524.30,17.62,0.00,0.00,0.00
37.70,28056.95,1935.24,13480.60,17.40,0.00,0.00,0.00
37.80,28251.49,1945.40,13436.90,17.18,0.00,0.00,0.00
37.90,28447.05,1955.59,13393.19,16.97,0.00,0.00,0.00
38.00,28643.63,1965.81,13349.49,16.75,0.00,0.00,0.00
38.10,28841.24,1976.08,13305.79,16.53,0.00,0.00,0.00
38.20,29039.87,1986.38,13262.09,16.31,0.00,0.00,0.00
38.30,29239.55,1996.72,13218.38,16.09,0.00,0.00,0.00
38.40,29440.25,2007.09,13174.68,15.87,0.00,0.00,0.00
38.50,29642.00,2017.50,13130.98,15.65,0.00,0.00,0.00
38.60,29844.80,2027.95,13087.28,15.44,0.00,0.00,0.00
38.70,30048.64,2038.44,13043.58,15.22,0.00,0.00,0.00
38.80,30253.54,2048.97,12999.87,15.00,0.00,0.00,0.00
38.90,30459.49,2059.53,12956.17,14.78,0.00,0.00,0.00
39.00,30666.51,2070.14,12912.47,14.56,0.00,0.00,0.00
39.10,30874.59,2080.78,12868.77,14.34,0.00,0.00,0.00
39.20,31083.73,2091.47,12825.07,14.13,0.00,0.00,0.00
39.30,31293.95,2102.19,12781.36,13.91,0.00,0.00,0.00
39.40,31505.25,2112.95,12737.66,13.69,0.00,0.00,0.00
39.50,31717.62,2123.76,12693.96,13.47,0.00,0.00,0.00
39.60,31931.08,2134.60,12650.26,13.25,0.00,0.00,0.00
39.70,32145.63,2145.49,12606.55,13.03,0.00,0.00,0.00
39.80,32361.27,2156.41,12562.85,12.81,0.00,0.00,0.00
39.90,32578.01,2167.38,12519.15,12.60,0.00,0.00,0.00
